seed,task_id,rows_available,unique_x_available,rows_dropped_invalid_xy,total_points_target,n_bins_used,non_empty_bins,empty_bins,sampled_points,coverage_assigned,density_assigned,redistributed_count,resampled_count,status,notes,run_seed,run_timestamp_utc
383329927,1,349,264,0,24,8,6,2,24,6,18,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
3324115916,14,392,93,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
2811363264,18,314,260,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
1884968544,19,194,108,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
1859786275,23,452,77,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
3687649985,42,9162,366,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
369133708,43,10369,3102,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
2995172877,44,10369,2304,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
865305066,45,10369,2359,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
404488628,56,192,43,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
2261209995,64,162,48,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
4190266092,66,1331,1140,0,24,8,7,1,24,7,17,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
3160032368,67,1331,1159,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
3269070126,68,498,421,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
3081541439,73,5084,5082,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
3376120482,74,194,178,0,24,8,7,1,24,7,17,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
2204291346,75,205,96,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
550243861,76,347,82,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
3606691181,78,721,707,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
1934392872,84,3102,2875,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
2148995112,93,432,432,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
1592565386,98,94,31,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
784044718,100,209,60,0,24,8,8,0,24,8,16,0,0,ok,,42,2026-02-21T04:22:26.668437+00:00
