seed,task_id,rows_available,unique_x_available,points_per_bin,rows_dropped_invalid_xy,n_bins_used,target_points,sampled_points,resampled_count,non_empty_bins,empty_bins,status,notes,run_seed,run_timestamp_utc
383329927,1,349,264,3,0,8,24,24,0,6,2,ok,,42,2026-02-21T03:08:21.546405+00:00
3324115916,14,392,93,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
2811363264,18,314,260,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
1884968544,19,194,108,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
1859786275,23,452,77,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
3687649985,42,9162,366,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
369133708,43,10369,3102,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
2995172877,44,10369,2304,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
865305066,45,10369,2359,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
404488628,56,192,43,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
2261209995,64,162,48,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
4190266092,66,1331,1140,3,0,8,24,24,0,7,1,ok,,42,2026-02-21T03:08:21.546405+00:00
3160032368,67,1331,1159,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
3269070126,68,498,421,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
3081541439,73,5084,5082,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
3376120482,74,194,178,3,0,8,24,24,0,7,1,ok,,42,2026-02-21T03:08:21.546405+00:00
2204291346,75,205,96,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
550243861,76,347,82,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
3606691181,78,721,707,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
1934392872,84,3102,2875,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
2148995112,93,432,432,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
1592565386,98,94,31,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
784044718,100,209,60,3,0,8,24,24,0,8,0,ok,,42,2026-02-21T03:08:21.546405+00:00
