seed,task_id,rows_available,unique_x_available,points_per_bin,rows_dropped_invalid_xy,n_bins_used,target_points,sampled_points,resampled_count,non_empty_bins,empty_bins,status,notes,run_seed,run_timestamp_utc
3848090811,1,349,264,3,0,8,24,24,0,6,2,ok,,13,2026-02-21T03:21:18.151323+00:00
3714277352,14,392,93,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
3520779262,18,314,260,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
3673496328,19,194,108,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
298568888,23,452,77,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
3483318973,42,9162,366,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
4045701145,43,10369,3102,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
1122903570,44,10369,2304,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
728233162,45,10369,2359,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
331569145,56,192,43,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
3431500306,64,162,48,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
4065039572,66,1331,1140,3,0,8,24,24,0,7,1,ok,,13,2026-02-21T03:21:18.151323+00:00
2593467581,67,1331,1159,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
2636215238,68,498,421,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
3387831419,73,5084,5082,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
11298999,74,194,178,3,0,8,24,24,0,7,1,ok,,13,2026-02-21T03:21:18.151323+00:00
3592405415,75,205,96,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
3910169054,76,347,82,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
568853521,78,721,707,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
4229698718,84,3102,2875,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
3648830584,93,432,432,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
1229634550,98,94,31,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
2057501972,100,209,60,3,0,8,24,24,0,8,0,ok,,13,2026-02-21T03:21:18.151323+00:00
