seed,task_id,rows_available,unique_x_available,points_per_bin,rows_dropped_invalid_xy,n_bins_used,target_points,sampled_points,resampled_count,non_empty_bins,empty_bins,status,notes,run_seed,run_timestamp_utc
312010838,1,349,264,3,0,8,24,24,0,6,2,ok,,2324,2026-02-21T03:21:17.821309+00:00
3848258761,14,392,93,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
1769883797,18,314,260,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
485845894,19,194,108,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
298511221,23,452,77,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
3115794226,42,9162,366,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
532264122,43,10369,3102,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
4085545518,44,10369,2304,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
2628581088,45,10369,2359,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
76046676,56,192,43,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
1027379000,64,162,48,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
3154899023,66,1331,1140,3,0,8,24,24,0,7,1,ok,,2324,2026-02-21T03:21:17.821309+00:00
641258523,67,1331,1159,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
1780794506,68,498,421,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
3529965873,73,5084,5082,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
2490841652,74,194,178,3,0,8,24,24,0,7,1,ok,,2324,2026-02-21T03:21:17.821309+00:00
718198163,75,205,96,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
2436073908,76,347,82,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
1573461604,78,721,707,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
2768183811,84,3102,2875,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
828481180,93,432,432,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
4070986273,98,94,31,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
820912895,100,209,60,3,0,8,24,24,0,8,0,ok,,2324,2026-02-21T03:21:17.821309+00:00
