seed,task_id,rows_available,unique_x_available,points_per_bin,rows_dropped_invalid_xy,n_bins_used,target_points,sampled_points,resampled_count,non_empty_bins,empty_bins,status,notes,run_seed,run_timestamp_utc
2048726968,1,349,264,3,0,8,24,24,0,6,2,ok,,9042,2026-02-21T03:21:17.934321+00:00
1816617780,14,392,93,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
438525039,18,314,260,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
2652727587,19,194,108,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
3756010289,23,452,77,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
1870870707,42,9162,366,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
1359366941,43,10369,3102,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
3977230757,44,10369,2304,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
222808973,45,10369,2359,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
1672657164,56,192,43,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
125230787,64,162,48,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
3715434005,66,1331,1140,3,0,8,24,24,0,7,1,ok,,9042,2026-02-21T03:21:17.934321+00:00
1932526106,67,1331,1159,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
4087521406,68,498,421,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
426880612,73,5084,5082,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
3043520831,74,194,178,3,0,8,24,24,0,7,1,ok,,9042,2026-02-21T03:21:17.934321+00:00
489998024,75,205,96,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
1978006004,76,347,82,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
838843086,78,721,707,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
2988342352,84,3102,2875,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
3330566674,93,432,432,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
3710150116,98,94,31,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
1964547872,100,209,60,3,0,8,24,24,0,8,0,ok,,9042,2026-02-21T03:21:17.934321+00:00
