seed,task_id,rows_available,unique_x_available,rows_dropped_invalid_xy,total_points_target,n_bins_used,non_empty_bins,empty_bins,sampled_points,coverage_assigned,density_assigned,redistributed_count,resampled_count,status,notes,run_seed,run_timestamp_utc
3090441203,1,349,264,0,24,8,6,2,24,6,18,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
1404335233,14,392,93,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
1007195000,18,314,260,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
4240321753,19,194,108,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
756055012,23,452,77,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
1368852627,42,9162,366,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
2760064837,43,10369,3102,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
3386791889,44,10369,2304,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
2747617760,45,10369,2359,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
3736177067,56,192,43,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
207554933,64,162,48,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
1679696453,66,1331,1140,0,24,8,7,1,24,7,17,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
2463776177,67,1331,1159,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
1880688323,68,498,421,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
1669216296,73,5084,5082,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
1600944347,74,194,178,0,24,8,7,1,24,7,17,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
172429378,75,205,96,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
459362198,76,347,82,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
2330692243,78,721,707,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
2057140960,84,3102,2875,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
4115255839,93,432,432,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
1036599568,98,94,31,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
3645971242,100,209,60,0,24,8,8,0,24,8,16,0,0,ok,,8,2026-02-21T04:22:04.635900+00:00
